Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:PASABAR
,Departamento:LAMBAYEQUE,Provincia:LAMBAYEQUE,Distrito:OLMOS
,Latitud:5Â°50'14'',Longitud:79Â°49'8.69'',Altitud:124,msnm.
,Tipo:CP,-Meteorológica,Código:105076
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-09-01,30.5
,14.7,72.3,0.0
2019-09-02,31.6
,14.2,71.6,0.0
2019-09-03,33.5
,13.5,69.4,0.0
2019-09-04,32
,16,68.7,0.0
2019-09-05,32.5
,15.5,68.5,0.0
2019-09-06,33.5
,12.5,70.9,0.0
2019-09-07,32
,14.2,69.6,0.0
2019-09-08,31.9
,13.8,77.6,0.0
2019-09-09,28
,12,74.4,0.0
2019-09-10,30.6
,11.5,71.5,0.0
2019-09-11,32.2
,12.2,71.5,0.0
2019-09-12,32.5
,15,70.9,0.0
2019-09-13,32.2
,14.8,71.1,0.0
2019-09-14,31.7
,14.9,71.2,0.0
2019-09-15,32.5
,14.2,70.3,0.0
2019-09-16,32.7
,13.2,71.9,0.0
2019-09-17,33.5
,14.8,70.5,0.0
2019-09-18,30.2
,15.6,71.7,0.0
2019-09-19,32.5
,16.6,70.0,0.0
2019-09-20,28
,15.6,75.9,0.0
2019-09-21,30.2
,15,72.7,0.0
2019-09-22,32.7
,14,71.5,0.0
2019-09-23,27.3
,16.2,75.6,0.0
2019-09-24,31.5
,15,71.0,0.0
2019-09-25,33.6
,15.6,70.1,0.0
2019-09-26,34
,13.2,72.4,0.0
2019-09-27,33.8
,13.1,68.6,0.0
2019-09-28,33
,14.5,70.9,0.0
2019-09-29,35.5
,16,67.0,0.0
2019-09-30,33.4
,16,72.0,0.0
