Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:PASABAR
,Departamento:LAMBAYEQUE,Provincia:LAMBAYEQUE,Distrito:OLMOS
,Latitud:5Â°50'14'',Longitud:79Â°49'8.69'',Altitud:124,msnm.
,Tipo:CP,-Meteorológica,Código:105076
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-03-01,32.8
,22.2,83.1,25.6
2019-03-02,34.2
,21.6,84.7,4.4
2019-03-03,31.6
,23.4,88.8,24.3
2019-03-04,32.6
,22.6,89.7,0.5
2019-03-05,31.5
,22.6,82.1,1.3
2019-03-06,29.2
,22.8,86.7,0.0
2019-03-07,31
,21.6,82.9,0.0
2019-03-08,33
,21.4,85.3,0.0
2019-03-09,33.6
,21.2,80.0,0.0
2019-03-10,33.7
,21,80.8,0.0
2019-03-11,35.4
,21.2,74.7,0.0
2019-03-12,34
,21.6,82.9,13.9
2019-03-13,32.8
,21.5,87.6,1.6
2019-03-14,32.7
,22,87.1,0.2
2019-03-15,32.5
,22.1,81.6,0.0
2019-03-16,33.1
,22.2,83.5,0.0
2019-03-17,31.5
,21.6,82.6,0.5
2019-03-18,32
,21.3,83.5,0.0
2019-03-19,33.4
,20.4,76.9,0.2
2019-03-20,34.5
,21,82.3,0.0
2019-03-21,33.5
,20,78.7,0.3
2019-03-22,34.2
,21.4,76.6,0.0
2019-03-23,29
,20.2,83.0,0.0
2019-03-24,31.6
,18.8,79.4,0.0
2019-03-25,34
,20,76.7,0.0
2019-03-26,32
,19.2,76.3,0.0
2019-03-27,31.5
,18.2,80.7,0.0
2019-03-28,31.6
,20,81.1,0.0
2019-03-29,30.5
,19.8,86.1,0.0
2019-03-30,31
,22,81.6,0.0
2019-03-31,34.6
,18.6,80.9,0.0
